Player,Team,Year,Int,TD,Solo,Ast,Tot,Sack,Stat Type
Chris Hackett,TCU,2013,3,0,54,34,88,2.0,Defense
Malcolm Hill,RICE,2013,3,0,24,20,44,0.0,Defense
Jordan Sullen,TULN,2013,3,0,33,10,43,0.0,Defense
Julian Wilson,OKLA,2013,3,0,20,6,26,0.0,Defense
Hassan Childs,USF,2013,3,0,8,2,10,0.0,Defense
Ryan Keiser,PSU,2013,3,0,26,12,38,1.0,Defense
Ryan Smith,AUB,2013,3,0,44,24,68,0.0,Defense
Gerod Holliman,LOU,2014,14,1,34,10,44,1.0,Defense
Senquez Golson,MISS,2014,10,1,33,10,43,0.5,Defense
Jacoby Glenn,UCF,2014,7,0,34,14,48,0.0,Defense
Quinten Rollins,MIOH,2014,7,1,53,19,72,0.0,Defense
Frankie Sutera,USU,2014,7,0,49,38,87,4.5,Defense
Erick Dargan,ORE,2014,7,0,57,33,90,0.0,Defense
Chris Hackett,TCU,2014,7,0,51,24,75,0.0,Defense
Kevin Byard,MTSU,2014,6,0,43,23,66,0.0,Defense
Jonathan Jones,AUB,2014,6,0,23,13,36,0.0,Defense
Weston Steelhammer,AF,2014,6,0,42,19,61,3.0,Defense
Vonn Bell,OSU,2014,6,0,53,32,85,0.0,Defense
Zack Sanchez,OKLA,2014,6,1,31,12,43,0.0,Defense
Darian Thompson,BSU,2014,6,1,50,21,71,0.0,Defense
Jermaine Whitehead,AUB,2014,6,1,27,9,36,0.0,Defense
Donte Deayon,BSU,2014,6,2,33,13,46,1.0,Defense
Montres Kitchens,TROY,2014,6,1,54,33,87,0.0,Defense
William Likely,MD,2014,6,2,66,17,83,1.0,Defense
Xavier Woods,LT,2014,6,2,52,19,71,1.0,Defense
Josh Hawkins,ECU,2014,5,0,31,13,44,0.0,Defense
Parry Nickerson,TULN,2014,5,0,40,11,51,0.0,Defense
Adairius Barnes,LT,2014,5,0,30,16,46,0.0,Defense
Briean Boddy-Calhoun,MINN,2014,5,0,39,12,51,0.0,Defense
Landon Feichter,PUR,2014,5,0,71,34,105,0.0,Defense
Bobby McCain,MEM,2014,5,1,38,8,46,0.0,Defense
Nick Johnson,BGSU,2014,5,0,53,19,72,0.0,Defense
Nate Gerry,NEB,2014,5,0,49,39,88,0.5,Defense
Doran Grant,OSU,2014,5,0,45,13,58,0.0,Defense
David Mims,TXST,2014,5,1,36,12,48,0.0,Defense
Richard Leonard,FIU,2014,5,2,32,8,40,0.0,Defense
Adrian McDonald,HOU,2014,5,0,40,34,74,0.0,Defense
Triston Wade,UTSA,2014,4,0,47,39,86,0.0,Defense
Donald Celiscar,WMU,2014,4,0,52,11,63,1.0,Defense
Lorenzo Doss,TULN,2014,4,0,36,12,48,1.0,Defense
Cole Luke,ND,2014,4,0,33,15,48,1.0,Defense
Gionni Paul,UTAH,2014,4,0,35,26,61,1.0,Defense
Damian Swann,UGA,2014,4,0,35,30,65,2.0,Defense
Randall Evans,KSST,2014,4,0,50,14,64,0.0,Defense
Quincy Mauger,UGA,2014,4,0,34,17,51,0.0,Defense
Sam E. Richardson,IAST,2014,4,0,47,11,58,0.0,Defense
Germod Williams,TXST,2014,4,0,27,8,35,0.0,Defense
Branden Leston,WKU,2014,4,0,41,22,63,1.0,Defense
Taj Letman,MRSH,2014,4,0,46,48,94,0.0,Defense
Sam Carter,TCU,2014,4,0,30,25,55,0.0,Defense
James Sample,LOU,2014,4,0,74,16,90,0.0,Defense
Josh Jones,NCST,2014,4,0,42,14,56,1.0,Defense
D.J. White,GT,2014,4,1,52,14,66,0.0,Defense
Dechane Durante,NIU,2014,4,0,55,32,87,0.0,Defense
Xavien Howard,BAY,2014,4,0,42,9,51,1.5,Defense
Josh Jenkins,ARMY,2014,4,0,53,11,64,0.0,Defense
Paul Dawson,TCU,2014,4,1,81,55,136,6.0,Defense
Randall Jette,MASS,2014,4,0,39,28,67,0.0,Defense
Tyvis Powell,OSU,2014,4,0,40,27,67,0.0,Defense
Kurtis Drummond,MSU,2014,4,0,54,18,72,0.0,Defense
Doug Middleton,APST,2014,4,1,54,20,74,0.5,Defense
A.J. Leggett,MRSH,2014,4,0,41,22,63,0.0,Defense
Artez Brown,ARST,2014,4,1,20,6,26,0.0,Defense
Orion Stewart,BAY,2014,4,0,53,28,81,0.0,Defense
Qushaun Lee,ARST,2014,4,0,79,31,110,1.0,Defense
Brison Williams,SCAR,2014,4,2,25,9,34,0.0,Defense
Derrick Kindred,TCU,2014,4,1,63,16,79,0.0,Defense
Justin Coleman,TENN,2014,4,0,31,11,42,0.0,Defense
Brian Poole,FLA,2014,4,1,25,20,45,0.0,Defense
Matthias Farley,ND,2014,4,0,40,13,53,3.5,Defense
Jamal Golden,GT,2014,4,1,43,18,61,0.0,Defense
Braylon Webb,MIZZ,2014,4,0,36,34,70,0.0,Defense
Ronald Zamort,WMU,2014,4,0,16,12,28,1.0,Defense
Dylan Haines,TEX,2014,4,1,44,29,73,0.0,Defense
A.J. Stamps,KY,2014,4,0,41,15,56,0.0,Defense
Andrew Adams,CONN,2014,4,0,64,31,95,0.0,Defense
Calvin Munson,SDSU,2014,4,1,53,29,82,3.0,Defense
Tavon Young,TEM,2014,4,1,22,1,23,0.0,Defense
Morgan Burns,KSST,2014,3,0,46,9,55,1.0,Defense
Paris Logan,NIU,2014,3,0,51,26,77,0.0,Defense
Keanu Neal,FLA,2014,3,0,25,20,45,0.0,Defense
Winston Rose,NMST,2014,3,0,37,9,46,0.0,Defense
Cameron Sutton,TENN,2014,3,0,31,6,37,0.0,Defense
Tony Annese,CMU,2014,3,0,49,25,74,0.0,Defense
Mike Hilton,MISS,2014,3,0,48,23,71,0.0,Defense
Jordan Italiano,KENT,2014,3,0,48,48,96,0.0,Defense
Marcus Peters,WASH,2014,3,0,25,5,30,0.0,Defense
Brandon Reddish,SYR,2014,3,0,32,11,43,1.0,Defense
Jordan Richards,STAN,2014,3,0,54,26,80,0.0,Defense
JaCorey Shepherd,KAN,2014,3,0,23,7,30,0.0,Defense
Trae Waynes,MSU,2014,3,0,34,12,46,1.0,Defense
Martel Durant,AKR,2014,3,0,27,11,38,0.0,Defense
Blake Martinez,STAN,2014,3,0,54,48,102,4.5,Defense
Dante Barnett,KSST,2014,3,0,56,21,77,0.0,Defense
Tegray Scales,IND,2014,3,0,29,17,46,2.0,Defense
Malik Smith,SDSU,2014,3,0,29,26,55,0.0,Defense
Jourdon Grandon,ARIZ,2014,3,0,58,26,84,1.0,Defense
Will Redmond,MSST,2014,3,0,37,14,51,0.0,Defense
Quin Blanding,UVA,2014,3,0,60,63,123,1.0,Defense
Kweishi Brown,AZST,2014,3,0,35,11,46,0.0,Defense
Trovon Reed,AUB,2014,3,0,9,3,12,0.0,Defense
Griffin Piatt,CAL,2014,3,0,25,15,40,1.0,Defense
James Burgess,LOU,2014,3,0,43,28,71,3.0,Defense
Jordan Ozerities,UCF,2014,3,0,50,18,68,1.5,Defense
Nate Andrews,FSU,2014,3,1,66,27,93,0.0,Defense
Andrew Gaines,MEM,2014,3,0,33,7,40,0.0,Defense
Godwin Igwebuike,NW,2014,3,0,34,17,51,0.0,Defense
Shawun Lurry,NIU,2015,9,1,35,7,42,0.0,Defense
Damontae Kazee,SDSU,2015,8,1,58,17,75,0.0,Defense
Jamar Summers,CONN,2015,8,1,25,14,39,0.0,Defense
Desmond King,IOWA,2015,8,1,46,26,72,0.0,Defense
Zack Sanchez,OKLA,2015,7,1,36,9,45,0.5,Defense
Latrell Gibbs,APST,2015,7,2,34,11,45,0.0,Defense
Dameon Baber,NEV,2015,6,0,45,20,65,0.0,Defense
Daryl Worley,WVU,2015,6,0,46,3,49,0.0,Defense
DeAndre Scott,AKR,2015,6,0,26,6,32,0.0,Defense
Artie Burns,MIA,2015,6,0,26,10,36,0.0,Defense
Antonio Glover,GSU,2015,6,0,32,24,56,0.0,Defense
Alfonso Mack,BGSU,2015,6,0,42,14,56,0.0,Defense
Tanner McEvoy,WISC,2015,6,0,27,15,42,1.0,Defense
Kareem Orr,AZST,2015,6,1,31,7,38,0.0,Defense
Demetrius Monday,KENT,2015,6,1,23,12,35,0.0,Defense
Kai Nacua,BYU,2015,6,2,39,27,66,0.0,Defense
Dominick Sanders,UGA,2015,6,1,25,23,48,1.0,Defense
Eddie Jackson,ALA,2015,6,2,34,12,46,0.0,Defense
Rocky Hayes,ARST,2015,5,0,31,21,52,0.0,Defense
Karl Joseph,WVU,2015,5,0,15,5,20,1.0,Defense
Malik Smith,SDSU,2015,5,0,44,33,77,0.0,Defense
Justin Simmons,BC,2015,5,0,49,18,67,0.0,Defense
Darian Thompson,BSU,2015,5,0,37,28,65,1.0,Defense
Tyler Matakevich,TEM,2015,5,0,77,61,138,4.5,Defense
Darius Phillips,WMU,2015,5,1,36,12,48,0.0,Defense
Cordrea Tankersley,CLEM,2015,5,1,39,9,48,1.0,Defense
Reggis Ball,MEM,2015,5,1,44,13,57,0.0,Defense
Xavien Howard,BAY,2015,5,0,37,5,42,0.0,Defense
Donovan Wilson,TAMU,2015,5,1,36,27,63,2.0,Defense
Marcus Williams,UTAH,2015,5,0,36,29,65,0.0,Defense
Dylan Haines,TEX,2015,5,0,37,10,47,1.0,Defense
William Jackson,HOU,2015,5,2,34,9,43,0.0,Defense
Sean Chandler,TEM,2015,5,2,44,21,65,1.0,Defense
Jordan Thomas,OKLA,2015,5,1,34,12,46,0.0,Defense
Adonis Alexander,VT,2015,4,0,37,18,55,0.0,Defense
Prince Charles Iworah,WKU,2015,4,0,35,7,42,0.0,Defense
Terrance Winchester,CHAR,2015,4,0,41,8,49,0.0,Defense
Anthony Brown,PUR,2015,4,0,41,19,60,0.0,Defense
Brendon Clements,NAVY,2015,4,0,43,9,52,0.0,Defense
Briean Boddy-Calhoun,MINN,2015,4,1,37,11,48,0.5,Defense
M.J. Stewart,UNC,2015,4,0,34,28,62,1.0,Defense
Adrian McDonald,HOU,2015,4,0,57,34,91,0.5,Defense
Skai Moore,SCAR,2015,4,0,68,42,110,2.0,Defense
Cre'von LeBlanc,FAU,2015,4,0,30,13,43,0.0,Defense
Jamal Adams,LSU,2015,4,0,48,19,67,0.0,Defense
Gionni Paul,UTAH,2015,4,0,55,62,117,3.0,Defense
Weston Steelhammer,AF,2015,4,0,46,34,80,1.0,Defense
Trey Dudley-Giles,MASS,2015,4,0,41,30,71,0.0,Defense
Jonathan Crawford,IND,2015,4,0,48,28,76,1.0,Defense
Donte Deayon,BSU,2015,4,0,27,11,38,0.0,Defense
Bennett Okotcha,UTSA,2015,4,0,39,8,47,0.0,Defense
Taylor Barton,ILL,2015,4,0,29,27,56,0.0,Defense
Kevin Byard,MTSU,2015,4,0,43,23,66,0.0,Defense
Cranston Jones,UNM,2015,4,0,25,5,30,0.0,Defense
Tarris Batiste,GAST,2015,4,0,66,34,100,0.0,Defense
Anthony Cioffi,RUT,2015,4,0,38,7,45,1.5,Defense
Trumaine Washington,LOU,2015,4,1,47,8,55,2.0,Defense
Tim Hough,UNLV,2015,4,0,25,7,32,0.0,Defense
Trevon Stewart,HOU,2015,4,0,52,24,76,6.0,Defense
J.J. Gaines,TTU,2015,4,1,52,29,81,1.0,Defense
Josey Jewell,IOWA,2015,4,1,62,64,126,2.5,Defense
Deatrick Nichols,USF,2015,4,1,47,14,61,1.0,Defense
Tyquwan Glass,FRES,2015,4,0,48,14,62,0.0,Defense
Fellonte Misher,ODU,2015,4,0,48,51,99,0.5,Defense
Jalen Tabor,FLA,2015,4,2,22,16,38,1.0,Defense
Quentin Poling,OHIO,2015,4,2,47,22,69,5.0,Defense
Brison Burris,MIOH,2015,4,1,43,38,81,0.0,Defense
Nate Gerry,NEB,2015,4,0,49,30,79,1.0,Defense
Shalom Luani,WSU,2015,4,1,67,23,90,0.0,Defense
Matthew Harris,NW,2015,4,1,30,18,48,0.0,Defense
Kalan Reed,USM,2015,4,2,50,6,56,0.0,Defense
Dernard Turner,BGSU,2015,4,1,32,48,80,0.0,Defense
Sidney Jones,WASH,2015,4,1,31,15,46,0.0,Defense
Vernon Hargreaves III,FLA,2015,4,0,24,9,33,0.0,Defense
Trae Elston,MISS,2015,4,2,44,26,70,0.0,Defense
Ryan Reid,BAY,2015,3,0,21,7,28,0.0,Defense
Carlton Davis,AUB,2015,3,0,38,18,56,0.5,Defense
Kris Givens,AKR,2015,3,0,44,10,54,0.0,Defense
John Johnson,BC,2015,3,0,44,17,61,0.0,Defense
Nick Kwiatkoski,WVU,2015,3,0,63,23,86,3.0,Defense
Eaton Spence,ILL,2015,3,0,26,16,42,0.0,Defense
Ben Weaver,BSU,2015,3,0,34,34,68,0.0,Defense
Lorentez Barbour,NAVY,2015,3,0,52,22,74,0.0,Defense
Elijah Lee,KSST,2015,3,0,66,14,80,5.0,Defense
Todd Kelly Jr.,TENN,2015,3,0,31,15,46,0.0,Defense
Breon Borders,DUKE,2015,3,0,40,17,57,1.0,Defense
Kevin King,WASH,2015,3,0,24,15,39,0.0,Defense
Andrew Adams,CONN,2015,3,0,56,47,103,0.0,Defense
Josh Harvey-Clemons,LOU,2015,3,0,50,38,88,1.0,Defense
Nate Gaines,UTSA,2015,3,0,48,28,76,0.0,Defense
Anthony Nixon,MD,2015,3,0,55,27,82,0.0,Defense
Cheatham Norrils,TOL,2015,3,0,45,21,66,0.0,Defense
Demetrious Cox,MSU,2015,3,0,48,31,79,0.0,Defense
Darion Monroe,TULN,2015,3,0,53,20,73,0.0,Defense
Iman Marshall,USC,2015,3,0,39,28,67,0.0,Defense
Bobby Baker,GAST,2015,3,0,53,23,76,0.0,Defense
Jered Bell,COL,2015,3,0,32,16,48,0.0,Defense
Jeremy Clark,MICH,2015,3,0,15,6,21,0.0,Defense
Jalen Davis,USU,2015,3,0,32,19,51,1.0,Defense
Darius White,CAL,2015,3,0,38,20,58,0.0,Defense
Rasul Douglas,WVU,2016,8,1,49,21,70,1.0,Defense
Tarvarus McFadden,FSU,2016,7,0,16,3,19,0.0,Defense
Weston Steelhammer,AF,2016,7,0,47,33,80,1.0,Defense
Damontae Kazee,SDSU,2016,7,1,46,21,67,0.0,Defense
Malik Hooker,OSU,2016,7,3,43,31,74,0.5,Defense
Orion Stewart,BAY,2016,6,1,51,25,76,1.0,Defense
Kai Nacua,BYU,2016,6,0,40,8,48,0.0,Defense
Tedric Thompson,COL,2016,6,0,42,21,63,0.0,Defense
Blace Brown,TROY,2016,6,0,27,7,34,0.5,Defense
Minkah Fitzpatrick,ALA,2016,6,2,42,24,66,1.5,Defense
Horace Richardson,SMU,2016,6,2,28,4,32,0.0,Defense
Leo Musso,WISC,2016,5,0,50,24,74,0.0,Defense
Marcus Williams,UTAH,2016,5,0,46,18,64,0.0,Defense
Adoree' Jackson,USC,2016,5,0,46,9,55,0.0,Defense
Jayshawn Jordan,IDHO,2016,5,0,62,32,94,0.0,Defense
Mike Tyson,CINN,2016,5,0,29,17,46,0.0,Defense
Jadar Johnson,CLEM,2016,5,0,41,19,60,0.0,Defense
Kieron Williams,NEB,2016,5,1,43,26,69,0.0,Defense
Xavier Woods,LT,2016,5,0,60,29,89,3.0,Defense
Clifton Duck,APST,2016,5,1,43,14,57,0.0,Defense
Kaden Elliss,IDHO,2016,5,1,44,22,66,3.0,Defense
Howard Wilson,HOU,2016,5,1,45,9,54,0.0,Defense
Montre Hartage,NW,2016,5,0,48,12,60,0.0,Defense
Aarion Penton,MIZZ,2016,5,1,35,8,43,0.0,Defense
Darrion Millines,SMU,2016,5,0,47,17,64,0.0,Defense
Jaden Wright,NMST,2016,5,1,31,49,80,0.0,Defense
Dallas Lloyd,STAN,2016,5,1,32,28,60,0.0,Defense
Brian Allen,UTAH,2016,4,0,27,8,35,1.0,Defense
Gareon Conley,OSU,2016,4,0,21,5,26,0.0,Defense
Justin Evans,TAMU,2016,4,0,52,35,87,0.0,Defense
Heath Harding,MIOH,2016,4,0,43,24,67,0.0,Defense
Jalen Rogers,HAW,2016,4,0,53,18,71,0.0,Defense
Anthony Smithson,KAN,2016,4,0,70,23,93,1.0,Defense
Obi Melifonwu,CONN,2016,4,0,73,45,118,0.0,Defense
Nate Gerry,NEB,2016,4,0,47,27,74,0.5,Defense
Cordrea Tankersley,CLEM,2016,4,0,39,13,52,0.0,Defense
Deatrick Nichols,USF,2016,4,0,37,12,49,0.0,Defense
Terrell Edmunds,VT,2016,4,0,45,44,89,0.0,Defense
Jalen Thompson,USA,2016,4,1,25,6,31,0.5,Defense
Jaire Alexander,LOU,2016,4,0,31,8,39,0.0,Defense
Brodie Hicks,AF,2016,4,0,38,34,72,0.0,Defense
Dylan Haines,TEX,2016,4,0,31,11,42,0.0,Defense
Mondo Williams,APST,2016,4,0,19,11,30,0.0,Defense
Markus Bailey,PUR,2016,4,0,61,36,97,0.0,Defense
D'Cota Dixon,WISC,2016,4,0,32,28,60,1.0,Defense
Shaquill Griffin,UCF,2016,4,1,30,19,49,0.0,Defense
Kameron Kelly,SDSU,2016,4,0,19,19,38,0.0,Defense
Nick Orr,TCU,2016,4,0,47,39,86,0.0,Defense
Jalen Tabor,FLA,2016,4,1,23,10,33,1.0,Defense
Alex Thomas,CINN,2016,4,0,16,9,25,0.0,Defense
Sojourn Shelton,WISC,2016,4,0,23,7,30,0.0,Defense
Brenden Schooler,ORE,2016,4,0,47,27,74,0.5,Defense
Nate Brooks,UNT,2016,4,0,36,21,57,1.0,Defense
De'Andre Montgomery,MIOH,2016,4,1,39,26,65,0.0,Defense
Delvon Randall,TEM,2016,4,0,43,22,65,0.0,Defense
Taylor Rapp,WASH,2016,4,1,29,22,51,0.0,Defense
Channing Stribling,MICH,2016,4,1,21,8,29,1.0,Defense
Marshon Lattimore,OSU,2016,4,1,29,11,40,0.0,Defense
Jalen Rountree,TROY,2016,4,0,35,3,38,0.0,Defense
Randall Goforth,UCLA,2016,4,1,44,14,58,0.0,Defense
Amari Coleman,CMU,2016,4,2,43,5,48,0.0,Defense
Jordan Wyatt,SMU,2016,4,2,39,11,50,0.0,Defense
Shalom Luani,WSU,2016,4,0,46,21,67,2.0,Defense
Andre Chachere,SJSU,2016,4,0,27,9,36,0.0,Defense
Jordan Evans,OKLA,2016,4,2,55,43,98,2.5,Defense
Jessie Bates,WF,2016,4,2,70,30,100,0.0,Defense
Parry Nickerson,TULN,2016,4,1,20,9,29,0.0,Defense
Darius Phillips,WMU,2016,4,3,26,14,40,1.0,Defense
Derek Babiash,SDSU,2016,3,0,20,4,24,0.0,Defense
Jeremy Cutrer,MTSU,2016,3,0,51,12,63,0.0,Defense
Toran Davis,OHIO,2016,3,0,47,47,94,0.5,Defense
T.J. Edwards,WISC,2016,3,0,48,41,89,3.0,Defense
Sidney Jones,WASH,2016,3,0,27,12,39,0.0,Defense
JaMarcus King,SCAR,2016,3,0,50,4,54,0.0,Defense
Andrew Motuapuaka,VT,2016,3,0,52,62,114,2.0,Defense
Adarius Pickett,UCLA,2016,3,0,36,6,42,0.0,Defense
Deondre Singleton,DUKE,2016,3,0,39,21,60,0.0,Defense
Greg Stroman,VT,2016,3,0,7,6,13,0.0,Defense
Chandon Sullivan,GAST,2016,3,0,31,12,43,0.0,Defense
Aaron Williams,NEB,2016,3,0,32,30,62,2.0,Defense
Mayomi Olootu,NIU,2016,3,0,24,5,29,0.0,Defense
Lawrence Austin,GT,2016,3,0,31,16,47,0.0,Defense
Elijah Riley,ARMY,2016,3,0,35,12,47,0.0,Defense
Jamari Bozeman,BGSU,2016,3,0,42,29,71,0.0,Defense
Brandon Snyder,IOWA,2016,3,0,53,32,85,0.0,Defense
Chris Lammons,SCAR,2016,3,0,36,17,53,1.0,Defense
Dallin Leavitt,USU,2016,3,0,32,25,57,0.0,Defense
Eric Boggs,APST,2016,3,0,43,55,98,3.0,Defense
Kedrick Davis,CHAR,2016,3,0,28,11,39,0.0,Defense
Derrick Baity,KY,2016,3,0,36,6,42,0.0,Defense
Iman Marshall,USC,2016,3,0,37,14,51,0.0,Defense
Jonathan Crawford,IND,2016,3,0,46,26,72,0.0,Defense
Antonio Hull,WYO,2016,3,0,56,23,79,0.0,Defense
Kishawn McClain,UNT,2016,3,0,67,24,91,1.5,Defense
Marc Walton,BALL,2016,3,0,37,26,63,0.0,Defense
John Gibson,MIZZ,2016,3,0,22,6,28,0.0,Defense
Robert Spillane,WMU,2016,3,0,60,51,111,3.0,Defense
Lance Austin,GT,2016,3,1,39,11,50,0.0,Defense
Ed Rolle,CHAR,2016,3,0,30,19,49,0.0,Defense
Vince Calhoun,EMU,2016,3,0,45,32,77,0.0,Defense
Joshua Jackson,IOWA,2017,8,2,34,14,48,0.0,Defense
Jalen Young,FAU,2017,7,0,41,36,77,0.0,Defense
Lukas Denis,BC,2017,7,0,46,37,83,0.0,Defense
Mark Gilbert,DUKE,2017,6,0,19,16,35,0.0,Defense
Parry Nickerson,TULN,2017,6,0,48,7,55,0.0,Defense
Clifton Duck,APST,2017,6,0,36,14,50,1.0,Defense
Josh Cox,CMU,2017,6,0,55,32,87,0.0,Defense
DeShon Elliott,TEX,2017,6,2,50,13,63,1.5,Defense
Justin Reid,STAN,2017,5,0,53,41,94,1.0,Defense
Sean Bunting,CMU,2017,5,0,34,15,49,0.0,Defense
Greedy Williams,LSU,2017,5,0,26,12,38,0.0,Defense
Demetrius Monday,KENT,2017,5,0,18,4,22,0.0,Defense
Andrew Wingard,WYO,2017,5,0,70,44,114,1.0,Defense
Monquavion Brinson,GSU,2017,5,0,27,7,34,0.0,Defense
