Player,Team,Year,Rec,Yds,Avg,TD,Stat Type
Cody Hoffman,BYU,2013,57,894,15.68,5,Receiving
Jaxon Shipley,TEX,2013,56,589,10.52,1,Receiving
Scott Harding,HAW,2013,56,631,11.27,1,Receiving
Nelson Agholor,USC,2013,56,918,16.39,6,Receiving
Tony Jones,NW,2013,55,630,11.45,4,Receiving
Nelson Spruce,COL,2013,55,650,11.82,4,Receiving
Jordan Taylor,RICE,2013,55,848,15.42,8,Receiving
DeVante Parker,LOU,2013,55,885,16.09,12,Receiving
Christian Jones,NW,2013,54,668,12.37,4,Receiving
Amari Cooper,ALA,2014,124,"1,727",13.93,16,Receiving
Justin Hardy,ECU,2014,121,"1,494",12.35,10,Receiving
Kevin White,WVU,2014,109,"1,447",13.28,10,Receiving
Nelson Spruce,COL,2014,106,"1,198",11.3,12,Receiving
Vince Mayle,WSU,2014,106,"1,483",13.99,9,Receiving
Tyler Lockett,KSST,2014,106,"1,515",14.29,11,Receiving
Nelson Agholor,USC,2014,104,"1,313",12.62,12,Receiving
Keevan Lucas,TULS,2014,101,"1,219",12.07,11,Receiving
Rashad Greene,FSU,2014,99,"1,365",13.79,7,Receiving
Rashard Higgins,CSU,2014,96,"1,750",18.23,17,Receiving
Tommy Shuler,MRSH,2014,92,"1,138",12.37,9,Receiving
Josh Harper,FRES,2014,90,"1,097",12.19,7,Receiving
Daniel Braverman,WMU,2014,86,997,11.59,6,Receiving
Jamison Crowder,DUKE,2014,85,"1,044",12.28,6,Receiving
Tajae Sharpe,MASS,2014,85,"1,281",15.07,7,Receiving
DaeSean Hamilton,PSU,2014,82,899,10.96,2,Receiving
Jaelen Strong,AZST,2014,82,"1,165",14.21,10,Receiving
Isaiah Jones,ECU,2014,81,830,10.25,5,Receiving
Kenzee Jackson,ULM,2014,79,866,10.96,4,Receiving
Curry Sexton,KSST,2014,79,"1,059",13.41,5,Receiving
Tyler Winston,SJSU,2014,78,694,8.9,5,Receiving
Isiah Myers,WSU,2014,78,972,12.46,12,Receiving
Tyler Boyd,PITT,2014,78,"1,261",16.17,8,Receiving
Corey Davis,WMU,2014,78,"1,408",18.05,15,Receiving
Rashon Ceaser,ULM,2014,77,872,11.32,3,Receiving
Lucky Whitehead,FAU,2014,76,706,9.29,6,Receiving
Artavis Scott,CLEM,2014,76,965,12.7,8,Receiving
Bud Sasser,MIZZ,2014,76,992,13.05,12,Receiving
Mike Dudek,ILL,2014,76,"1,038",13.66,6,Receiving
William Fuller,ND,2014,76,"1,094",14.39,15,Receiving
Joshua McCain,IDHO,2014,76,"1,154",15.18,9,Receiving
Teldrick Morgan,NMST,2014,75,903,12.04,7,Receiving
Mitch Mathews,BYU,2014,73,922,12.63,9,Receiving
Cayleb Jones,ARIZ,2014,73,"1,019",13.96,9,Receiving
Roger Lewis,BGSU,2014,73,"1,094",14.99,7,Receiving
Victor Bolden,ORST,2014,72,798,11.08,2,Receiving
Carlos Harris,UNT,2014,70,863,12.33,3,Receiving
Jared Dangerfield,WKU,2014,69,825,11.96,11,Receiving
Pharoh Cooper,SCAR,2014,69,"1,136",16.46,9,Receiving
Shane Williams-Rhodes,BSU,2014,68,585,8.6,7,Receiving
Corey Jones,TOL,2014,68,842,12.38,5,Receiving
John Harris,TEX,2014,68,"1,051",15.46,7,Receiving
Da'Ron Brown,NIU,2014,68,"1,065",15.66,6,Receiving
Jakeem Grant,TTU,2014,67,938,14.0,7,Receiving
Jordan Payton,UCLA,2014,67,"1,004",14.99,7,Receiving
Shaq Washington,CINN,2014,66,761,11.53,4,Receiving
River Cracraft,WSU,2014,66,771,11.68,8,Receiving
Byron Marshall,ORE,2014,66,834,12.64,5,Receiving
Hunter Sharp,USU,2014,66,939,14.23,7,Receiving
Bradley Marquez,TTU,2014,65,821,12.63,10,Receiving
Mario Alford,WVU,2014,65,945,14.54,11,Receiving
Josh Doctson,TCU,2014,65,"1,018",15.66,11,Receiving
Tony Lippett,MSU,2014,65,"1,198",18.43,11,Receiving
Ryan Burbrink,BGSU,2014,64,758,11.84,3,Receiving
Trent Taylor,LT,2014,64,834,13.03,9,Receiving
Devonte Boyd,UNLV,2014,64,973,15.2,4,Receiving
Corey Coleman,BAY,2014,64,"1,119",17.48,11,Receiving
Antonio Vaughan,ODU,2014,63,"1,019",16.17,12,Receiving
Richy Turner,NEV,2014,62,583,9.4,4,Receiving
Zach D'Orazio,AKR,2014,62,658,10.61,1,Receiving
D.J. Foster,AZST,2014,62,688,11.1,3,Receiving
Devin Funchess,MICH,2014,62,733,11.82,4,Receiving
Stefon Diggs,MD,2014,62,792,12.77,5,Receiving
Jamal Morrow,WSU,2014,61,460,7.54,0,Receiving
Ty Montgomery,STAN,2014,61,604,9.9,3,Receiving
Jonnu Smith,FIU,2014,61,710,11.64,8,Receiving
Ryan Switzer,UNC,2014,61,762,12.49,4,Receiving
Jaydon Mickens,WASH,2014,60,617,10.28,4,Receiving
Casey Pierce,KENT,2014,60,641,10.68,6,Receiving
Antwan Goodley,BAY,2014,60,830,13.83,6,Receiving
Donovan Harden,GAST,2014,60,885,14.75,7,Receiving
Titus Davis,CMU,2014,60,985,16.42,13,Receiving
Devin Fuller,UCLA,2014,59,447,7.58,1,Receiving
Jaxon Shipley,TEX,2014,59,577,9.78,1,Receiving
Quinton Pedroza,HAW,2014,59,674,11.42,3,Receiving
KeVonn Mabon,BALL,2014,59,717,12.15,5,Receiving
Zach Pascal,ODU,2014,59,743,12.59,7,Receiving
David Frazier,MIOH,2014,59,949,16.08,5,Receiving
KD Cannon,BAY,2014,58,"1,030",17.76,8,Receiving
Walter Holley,ULM,2014,57,863,15.14,7,Receiving
Mike Williams,CLEM,2014,57,"1,030",18.07,6,Receiving
Jay Richardson,NEV,2014,56,655,11.7,3,Receiving
Willie McNeal,WKU,2014,56,666,11.89,8,Receiving
Ronnie Moore,BGSU,2014,56,690,12.32,5,Receiving
Shane Wynn,IND,2014,56,708,12.64,3,Receiving
Isaiah Ford,VT,2014,56,709,12.66,6,Receiving
Jordan Williams,BALL,2014,56,753,13.45,6,Receiving
Marcus Kemp,HAW,2014,56,797,14.23,3,Receiving
Geno Lewis,PSU,2014,55,751,13.65,2,Receiving
Alex Erickson,WISC,2014,55,772,14.04,3,Receiving
Jordan Leslie,BYU,2014,55,779,14.16,6,Receiving
Cam Worthy,ECU,2014,55,"1,016",18.47,4,Receiving
Leonte Carroo,RUT,2014,55,"1,086",19.75,10,Receiving
Darius Joseph,SMU,2014,54,379,7.02,2,Receiving
Cam Serigne,WF,2014,54,531,9.83,5,Receiving
Alton Howard,TENN,2014,54,618,11.44,1,Receiving
Kenny Lawler,CAL,2014,54,701,12.98,9,Receiving
JuJu Smith-Schuster,USC,2014,54,724,13.41,5,Receiving
Shavarez Smith,USA,2014,54,748,13.85,8,Receiving
Demarcus Robinson,FLA,2014,54,821,15.2,7,Receiving
Tajae Sharpe,MASS,2015,111,"1,319",11.88,5,Receiving
Daniel Braverman,WMU,2015,108,"1,371",12.69,13,Receiving
Richie James,MTSU,2015,107,"1,334",12.47,8,Receiving
Gabe Marks,WSU,2015,104,"1,192",11.46,15,Receiving
Trent Taylor,LT,2015,99,"1,282",12.95,9,Receiving
Isaiah Jones,ECU,2015,97,"1,082",11.15,5,Receiving
Demarcus Ayers,HOU,2015,97,"1,221",12.59,6,Receiving
Keyarris Garrett,TULS,2015,96,"1,588",16.54,8,Receiving
Gehrig Dieter,BGSU,2015,94,"1,033",10.99,10,Receiving
Artavis Scott,CLEM,2015,93,901,9.69,6,Receiving
Tyler Boyd,PITT,2015,91,926,10.18,6,Receiving
Jakeem Grant,TTU,2015,91,"1,273",13.99,10,Receiving
Shaq Washington,CINN,2015,90,982,10.91,6,Receiving
Corey Davis,WMU,2015,90,"1,436",15.96,12,Receiving
Nelson Spruce,COL,2015,89,"1,053",11.83,4,Receiving
JuJu Smith-Schuster,USC,2015,89,"1,454",16.34,10,Receiving
Fred Ross,MSST,2015,88,"1,007",11.44,5,Receiving
Calvin Ridley,ALA,2015,88,"1,019",11.58,7,Receiving
Thomas Sperbeck,BSU,2015,88,"1,412",16.05,8,Receiving
Sterling Shepard,OKLA,2015,86,"1,288",14.98,11,Receiving
Taywan Taylor,WKU,2015,86,"1,460",16.98,17,Receiving
Roger Lewis,BGSU,2015,85,"1,544",18.16,16,Receiving
Aaron Burbridge,MSU,2015,84,"1,248",14.86,7,Receiving
Jared Dangerfield,WKU,2015,82,844,10.29,8,Receiving
Ed'Marques Batties,MTSU,2015,82,"1,048",12.78,13,Receiving
Laquon Treadwell,MISS,2015,82,"1,153",14.06,11,Receiving
Casey Martin,USM,2015,80,925,11.56,7,Receiving
Christian Kirk,TAMU,2015,80,"1,009",12.61,7,Receiving
Jordan Payton,UCLA,2015,78,"1,105",14.17,5,Receiving
Josh Doctson,TCU,2015,78,"1,326",17.0,14,Receiving
Alex Erickson,WISC,2015,77,978,12.7,3,Receiving
Joshua Atkinson,TULS,2015,76,"1,071",14.09,5,Receiving
Taquan Mizzell,UVA,2015,75,721,9.61,4,Receiving
Dominique Williams,WSU,2015,75,"1,040",13.87,11,Receiving
Isaiah Ford,VT,2015,75,"1,164",15.52,11,Receiving
Rashard Higgins,CSU,2015,74,"1,061",14.34,8,Receiving
Corey Coleman,BAY,2015,74,"1,363",18.42,20,Receiving
KJ Maye,MINN,2015,73,773,10.59,5,Receiving
Kenny Golladay,NIU,2015,73,"1,129",15.47,10,Receiving
Jordan Williams,BALL,2015,72,920,12.78,8,Receiving
Ronnie Moore,BGSU,2015,72,951,13.21,6,Receiving
Penny Hart,GAST,2015,72,"1,109",15.4,8,Receiving
Hunter Sharp,USU,2015,71,839,11.82,9,Receiving
Michael Thomas,USM,2015,71,"1,391",19.59,14,Receiving
KeVonn Mabon,BALL,2015,70,745,10.64,2,Receiving
Mose Frazier,MEM,2015,70,799,11.41,4,Receiving
Robbie Anderson,TEM,2015,70,939,13.41,7,Receiving
Zach Pascal,ODU,2015,69,975,14.13,8,Receiving
Chris Godwin,PSU,2015,69,"1,101",15.96,5,Receiving
Jay Richardson,NEV,2015,68,749,11.01,5,Receiving
Pharoh Cooper,SCAR,2015,66,973,14.74,8,Receiving
Devin Lucien,AZST,2015,66,"1,074",16.27,8,Receiving
Jaylen Samuels,NCST,2015,65,597,9.18,7,Receiving
Matt VandeBerg,IOWA,2015,65,703,10.82,4,Receiving
Sebastian Smith,OHIO,2015,65,777,11.95,7,Receiving
Geronimo Allison,ILL,2015,65,882,13.57,3,Receiving
Jordan Westerkamp,NEB,2015,65,918,14.12,7,Receiving
ArDarius Stewart,ALA,2015,64,726,11.34,4,Receiving
Matt Weiser,BUFF,2015,63,625,9.92,3,Receiving
Marcus Green,ULM,2015,63,698,11.08,7,Receiving
Bralon Addison,ORE,2015,63,804,12.76,10,Receiving
Drew Morgan,ARK,2015,63,843,13.38,10,Receiving
Teddy Ruben,TROY,2015,63,879,13.95,9,Receiving
Nicholas Norris,WKU,2015,63,971,15.41,6,Receiving
Shane Williams-Rhodes,BSU,2015,62,521,8.4,0,Receiving
Ron Willoughby,BUFF,2015,62,813,13.11,6,Receiving
William Fuller,ND,2015,62,"1,258",20.29,14,Receiving
Carlos Harris,UNT,2015,61,727,11.92,7,Receiving
Jesse Kroll,CMU,2015,61,866,14.2,4,Receiving
Robert Davis,GAST,2015,61,980,16.07,6,Receiving
Alex Gardner,FIU,2015,60,442,7.37,1,Receiving
Walter Holley,ULM,2015,60,709,11.82,6,Receiving
Dezmon Epps,IDHO,2015,60,745,12.42,2,Receiving
Simmie Cobbs Jr.,IND,2015,60,"1,035",17.25,4,Receiving
D.J. Foster,AZST,2015,59,584,9.9,3,Receiving
De'Runnya Wilson,MSST,2015,59,905,15.34,10,Receiving
Travis Rudolph,FSU,2015,59,916,15.53,7,Receiving
Bryce Williams,ECU,2015,58,583,10.05,4,Receiving
C.J. Best,TXST,2015,58,591,10.19,1,Receiving
Jesus Wilson,FSU,2015,58,622,10.72,3,Receiving
Jaydon Mickens,WASH,2015,58,692,11.93,2,Receiving
Davonte Allen,MRSH,2015,58,715,12.33,5,Receiving
Amara Darboh,MICH,2015,58,727,12.53,5,Receiving
Malcolm Mitchell,UGA,2015,58,865,14.91,5,Receiving
Danny Anthrop,PUR,2015,57,430,7.54,2,Receiving
Anthony Rice,CMU,2015,57,595,10.44,4,Receiving
Tim White,AZST,2015,57,633,11.11,8,Receiving
Jake Maulhardt,WYO,2015,57,641,11.25,8,Receiving
Mitchell Paige,IND,2015,57,684,12.0,6,Receiving
Callen Hightower,IDHO,2015,57,749,13.14,2,Receiving
Kermit Whitfield,FSU,2015,57,798,14.0,6,Receiving
David Glidden,OKST,2015,57,866,15.19,3,Receiving
Dorian Baker,KY,2015,56,612,10.93,3,Receiving
Ryan Burbrink,BGSU,2015,56,627,11.2,4,Receiving
DeAndre Reaves,MRSH,2015,56,705,12.59,4,Receiving
Chance Allen,HOU,2015,56,752,13.43,6,Receiving
Michael Thomas,OSU,2015,56,781,13.95,9,Receiving
Allen Lazard,IAST,2015,56,808,14.43,6,Receiving
Jenson Stoshak,FAU,2015,56,860,15.36,2,Receiving
Cayleb Jones,ARIZ,2015,56,907,16.2,5,Receiving
Isaiah Jones,ECU,2016,158,"1,746",11.05,8,Receiving
Trent Taylor,LT,2016,136,"1,803",13.26,12,Receiving
Richie James,MTSU,2016,105,"1,625",15.48,12,Receiving
Noel Thomas,CONN,2016,100,"1,179",11.79,3,Receiving
Mike Williams,CLEM,2016,99,"1,364",13.78,11,Receiving
Linell Bonner,HOU,2016,98,"1,118",11.41,3,Receiving
Taywan Taylor,WKU,2016,98,"1,730",17.65,17,Receiving
Corey Davis,WMU,2016,97,"1,500",15.46,19,Receiving
Ryan Switzer,UNC,2016,96,"1,112",11.58,6,Receiving
Anthony Miller,MEM,2016,95,"1,434",15.09,14,Receiving
Amba Etta-Tawo,SYR,2016,93,"1,483",15.95,14,Receiving
Chad Hansen,CAL,2016,92,"1,249",13.58,11,Receiving
Ervin Philips,SYR,2016,91,821,9.02,6,Receiving
Austin Carr,NW,2016,90,"1,247",13.86,12,Receiving
Gabe Marks,WSU,2016,89,894,10.04,13,Receiving
Kenny Golladay,NIU,2016,87,"1,150",13.22,8,Receiving
KD Cannon,BAY,2016,87,"1,215",13.97,13,Receiving
KeVonn Mabon,BALL,2016,85,972,11.44,3,Receiving
Christian Kirk,TAMU,2016,83,928,11.18,9,Receiving
Carlos Henderson,LT,2016,82,"1,535",18.72,19,Receiving
John Ross,WASH,2016,81,"1,150",14.2,17,Receiving
Thomas Sperbeck,BSU,2016,80,"1,272",15.9,9,Receiving
Dede Westbrook,OKLA,2016,80,"1,524",19.05,17,Receiving
Emanuel Thompson,TROY,2016,79,811,10.27,6,Receiving
Isaiah Ford,VT,2016,79,"1,094",13.85,7,Receiving
Keevan Lucas,TULS,2016,79,"1,172",14.84,15,Receiving
Joshua Atkinson,TULS,2016,78,"1,058",13.56,8,Receiving
Cam Phillips,VT,2016,76,983,12.93,5,Receiving
Courtland Sutton,SMU,2016,76,"1,246",16.39,10,Receiving
Nicholas Norris,WKU,2016,76,"1,318",17.34,14,Receiving
Artavis Scott,CLEM,2016,75,614,8.19,5,Receiving
Curtis Samuel,OSU,2016,74,865,11.69,7,Receiving
Scott Miller,BGSU,2016,74,968,13.08,10,Receiving
Jalen McCleskey,OKST,2016,73,812,11.12,7,Receiving
Fred Ross,MSST,2016,73,934,12.79,12,Receiving
Marcus Kemp,HAW,2016,73,"1,100",15.07,8,Receiving
Michael Gallup,CSU,2016,73,"1,240",16.99,14,Receiving
Steven Sims Jr.,KAN,2016,72,859,11.93,7,Receiving
Tanner Gentry,WYO,2016,72,"1,326",18.42,14,Receiving
Calvin Ridley,ALA,2016,71,776,10.93,7,Receiving
Corey Willis,CMU,2016,71,"1,087",15.31,9,Receiving
James Washington,OKST,2016,71,"1,380",19.44,10,Receiving
T.J. Rahming,DUKE,2016,70,742,10.6,1,Receiving
Adam Breneman,MASS,2016,70,808,11.54,8,Receiving
JuJu Smith-Schuster,USC,2016,70,914,13.06,10,Receiving
Devin Ross,COL,2016,69,787,11.41,5,Receiving
Allen Lazard,IAST,2016,69,"1,018",14.75,7,Receiving
Jonathan Giles,TTU,2016,69,"1,141",16.54,13,Receiving
Kalib Woods,FAU,2016,68,934,13.74,1,Receiving
Rodney Adams,USF,2016,67,822,12.27,5,Receiving
Robert Davis,GAST,2016,67,968,14.45,5,Receiving
KeeSean Johnson,FRES,2016,66,773,11.71,6,Receiving
Corey Jones,TOL,2016,66,817,12.38,5,Receiving
Drew Wolitarsky,MINN,2016,66,860,13.03,5,Receiving
Drew Morgan,ARK,2016,65,739,11.37,3,Receiving
Evan Engram,MISS,2016,65,926,14.25,8,Receiving
Zach Pascal,ODU,2016,65,946,14.55,9,Receiving
Tavares Martin Jr.,WSU,2016,64,728,11.38,7,Receiving
Cody Thompson,TOL,2016,64,"1,269",19.83,11,Receiving
I'Tavius Mathers,MTSU,2016,63,597,9.48,3,Receiving
Ty Lee,MTSU,2016,63,699,11.1,9,Receiving
Stacy Coley,MIA,2016,63,754,11.97,9,Receiving
Michael Henry,WMU,2016,63,779,12.37,4,Receiving
Ishmael Zamora,BAY,2016,63,809,12.84,8,Receiving
Daikiel Shorts,WVU,2016,63,894,14.19,5,Receiving
Josh Knight,MRSH,2016,62,631,10.18,5,Receiving
LaQuvionte Gonzalez,KAN,2016,62,729,11.76,3,Receiving
Andy Isabella,MASS,2016,62,801,12.92,7,Receiving
J'Mon Moore,MIZZ,2016,62,"1,012",16.32,8,Receiving
Jerome Lane,AKR,2016,62,"1,023",16.5,6,Receiving
Allenzae Staggers,USM,2016,62,"1,157",18.66,7,Receiving
Cameron Batson,TTU,2016,61,650,10.66,8,Receiving
Josh Reynolds,TAMU,2016,61,"1,039",17.03,12,Receiving
Al-Damion Riles,LA,2016,60,729,12.15,2,Receiving
Deondre Douglas,TROY,2016,60,740,12.33,6,Receiving
Sergio Bailey II,EMU,2016,60,868,14.47,7,Receiving
Mason Schreck,BUFF,2016,59,651,11.03,4,Receiving
Deebo Samuel,SCAR,2016,59,783,13.27,1,Receiving
Austin Duke,CHAR,2016,59,803,13.61,4,Receiving
JoJo Natson,AKR,2016,59,837,14.19,10,Receiving
Chris Godwin,PSU,2016,59,982,16.64,11,Receiving
Quay Johnson,ECU,2016,58,563,9.71,3,Receiving
Mitchell Paige,IND,2016,58,646,11.14,4,Receiving
Jordan Reid,OHIO,2016,58,655,11.29,6,Receiving
N'Keal Harry,AZST,2016,58,659,11.36,5,Receiving
Devin Gray,CINN,2016,58,860,14.83,5,Receiving
Equanimeous St. Brown,ND,2016,58,961,16.57,9,Receiving
Nate Cole,CINN,2016,57,518,9.09,4,Receiving
Dylan Cantrell,TTU,2016,57,669,11.74,8,Receiving
James Proche,SMU,2016,57,709,12.44,6,Receiving
Tre'Quan Smith,UCF,2016,57,853,14.96,5,Receiving
Amara Darboh,MICH,2016,57,862,15.12,7,Receiving
Deontay Burnett,USC,2016,56,622,11.11,7,Receiving
Darreus Rogers,USC,2016,56,696,12.43,4,Receiving
Tim White,AZST,2016,56,713,12.73,2,Receiving
Chance Allen,HOU,2016,56,815,14.55,6,Receiving
Travis Rudolph,FSU,2016,56,840,15.0,7,Receiving
Shay Fields,COL,2016,56,883,15.77,9,Receiving
Sebastian Smith,OHIO,2016,56,920,16.43,4,Receiving
Cedrick Wilson,BSU,2016,56,"1,129",20.16,11,Receiving
Trey Quinn,SMU,2017,114,"1,236",10.84,13,Receiving
Steve Ishmael,SYR,2017,105,"1,347",12.83,7,Receiving
Michael Gallup,CSU,2017,99,"1,407",14.21,7,Receiving
Gary Jennings,WVU,2017,97,"1,096",11.3,1,Receiving
Anthony Miller,MEM,2017,96,"1,462",15.23,18,Receiving
Keke Coutee,TTU,2017,93,"1,429",15.37,10,Receiving
Ervin Philips,SYR,2017,89,904,10.16,4,Receiving
Deontay Burnett,USC,2017,86,"1,114",12.95,9,Receiving
Olamide Zaccheaus,UVA,2017,85,895,10.53,5,Receiving
Ryan Davis,AUB,2017,84,815,9.7,5,Receiving
Cedrick Wilson,BSU,2017,83,"1,511",18.2,7,Receiving
N'Keal Harry,AZST,2017,82,"1,142",13.93,8,Receiving
Linell Bonner,HOU,2017,80,889,11.11,5,Receiving
D.J. Moore,MD,2017,80,"1,033",12.91,8,Receiving
Ty Lee,MTSU,2017,79,955,12.09,5,Receiving
Justin Hall,BALL,2017,78,801,10.27,3,Receiving
KeeSean Johnson,FRES,2017,77,"1,013",13.16,8,Receiving
Steven Dunbar,HOU,2017,77,"1,079",14.01,3,Receiving
Jaleel Scott,NMST,2017,76,"1,079",14.2,9,Receiving
Korey Robertson,USM,2017,76,"1,106",14.55,12,Receiving
Anthony Johnson,BUFF,2017,76,"1,356",17.84,14,Receiving
Jaylen Samuels,NCST,2017,75,593,7.91,4,Receiving
A.J. Brown,MISS,2017,75,"1,252",16.69,11,Receiving
Nacarius Fant,WKU,2017,74,704,9.51,4,Receiving
Penny Hart,GAST,2017,74,"1,121",15.15,8,Receiving
Diontae Johnson,TOL,2017,74,"1,278",17.27,13,Receiving
James Washington,OKST,2017,74,"1,549",20.93,13,Receiving
Teddy Veal,LT,2017,73,946,12.96,7,Receiving
Simmie Cobbs Jr.,IND,2017,72,841,11.68,8,Receiving
James Williams,WSU,2017,71,482,6.79,3,Receiving
Dylan Cantrell,TTU,2017,71,816,11.49,7,Receiving
Christian Kirk,TAMU,2017,71,919,12.94,10,Receiving
Allen Lazard,IAST,2017,71,941,13.25,10,Receiving
Cam Phillips,VT,2017,71,964,13.58,7,Receiving
Tavares Martin Jr.,WSU,2017,70,831,11.87,9,Receiving
Darren Carrington,UTAH,2017,70,980,14.0,6,Receiving
Kelvin Harmon,NCST,2017,69,"1,017",14.74,4,Receiving
Jordan Lasley,UCLA,2017,69,"1,264",18.32,9,Receiving
